code	url	product_name	brands_tags	stores	owner	labels_tags	nutriscore_score	nutriscore_grade	quantity	fat_100g	saturated_fat_100g	sugars_100g	proteins_100g	carbohydrates_100g	energy_100g	salt_100g	sodium_100g	computed_energy_100g	organic	level_salt	level_saturated_fat	level_sugars	level_fat	vegan	vegetarian	palm_oil
2209624006612	http://world-en.openfoodfacts.org/product/2209624006612/poulet-cuit-fume-au-bois-de-hetre	Poulet cuit fumé au bois de hêtre	NA	NA	NA	NA	4	c	NA	9.6	2.8	0.9	20	1	712	1.3	0.52	712.2	NA	m	m	l	m			
2860050037221	http://world-en.openfoodfacts.org/product/2860050037221/poulet-cuit-fume-au-bois-de-hetre	Poulet cuit fumé au bois de hêtre	NA	NA	NA	NA	11	d	NA	9.8	2.9	1.4	18.6	1.8	711	1.65	0.66	709.4	NA	h	m	l	m			
2209620005015	http://world-en.openfoodfacts.org/product/2209620005015/poulet-cuit-fume-au-bois-de-hetre	Poulet cuit fumé au bois de hêtre	NA	NA	NA	NA	11	d	NA	12	3.4	0.7	20	0.7	787	1.5	0.6	795.9	NA	m	m	l	m			
2209620006203	http://world-en.openfoodfacts.org/product/2209620006203/poulet-cuit-fume-au-bois-de-hetre	Poulet cuit fumé au bois de hêtre	NA	NA	NA	NA	11	d	NA	12	3.4	0.7	20	0.7	799	1.5	0.6	795.9	NA	m	m	l	m			
2209620004865	http://world-en.openfoodfacts.org/product/2209620004865/poulet-cuit-fume-au-bois-de-hetre	Poulet cuit fumé au bois de Hêtre	NA	NA	NA	en:french-meat,en:french-poultry	11	d	NA	12	3.4	0.7	20	0.7	799	1.5	0.6	795.9	f	m	m	l	m			
2209620007033	http://world-en.openfoodfacts.org/product/2209620007033/poulet-cuit-fume-au-bois-de-hetre	Poulet cuit fumé au bois de Hêtre	NA	NA	NA	en:french-meat,en:french-poultry,en:nutriscore,en:nutriscore-grade-b	1	b	NA	6.1	1.7	0	23.1	0	628	1	0.4	618.4	f	m	m	l	m			
2209620004629	http://world-en.openfoodfacts.org/product/2209620004629/poulet-cuit-fume-au-bois-de-hetre	Poulet cuit fumé au bois de Hêtre	NA	NA	NA	en:green-dot	11	d	NA	12	3.4	0.7	20	0.7	799	1.5	0.6	795.9	f	m	m	l	m			
2209620005756	http://world-en.openfoodfacts.org/product/2209620005756/poulet-cuit-fume-au-bois-de-hetre	Poulet cuit -Fumé au bois de hêtre-	NA	NA	NA	en:french-meat,en:french-poultry	11	d	NA	12	3.4	0.7	20	0.7	799	1.5	0.6	795.9	f	m	m	l	m			
2206180006711	http://world-en.openfoodfacts.org/product/2206180006711/poulet-cuit-fume-au-bois-de-hetre	Poulet Cuit fumé au bois de hêtre	NA	NA	NA	en:french-meat,en:french-poultry,en:nutriscore	1	b	NA	6.1	1.7	0.2	23.1	0.2	628	1	0.4	621.8	f	m	m	l	m			
2209629005559	http://world-en.openfoodfacts.org/product/2209629005559/poulet-cuit-fume-au-bois-de-hetre	Poulet Cuit - Fumé au bois de Hêtre	NA	NA	NA	NA	4	c	1.564 kg	9.6	2.8	0.9	20	1	711	1.3	0.52	712.2	NA	m	m	l	m			
2209620445132	http://world-en.openfoodfacts.org/product/2209620445132/poulet-cuit-fume-au-bois-de-hetre-l-etal-du-volailler	Poulet Cuit Fumé au Bois de Hêtre	l-etal-du-volailler,lidl	Lidl	NA	en:french-meat,en:french-poultry,en:green-dot,en:made-in-france,en:smoked-with-beech-wood	4	c	NA	9.6	2.8	0.9	20	1	711	1.3	0.52	712.2	f	m	m	l	m			
